Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_001
Test Start Time,15:40:11
Test Start Date,05/04/2018
Test Length [D:H:M],0:1:20
Test Interval [M:S],0:1
PM1 Average [mg/m3],0.015
PM1 Minimum [mg/m3],0.008
PM1 Maximum [mg/m3],0.131
PM1 TWA [mg/m3],0.002
PM2.5 Average [mg/m3],0.015
PM2.5 Minimum [mg/m3],0.008
PM2.5 Maximum [mg/m3],0.131
PM2.5 TWA [mg/m3],0.002
PM4 Average [mg/m3],0.015
PM4 Minimum [mg/m3],0.008
PM4 Maximum [mg/m3],0.131
PM4 TWA [mg/m3],0.002
PM10 Average [mg/m3],0.015
PM10 Minimum [mg/m3],0.008
PM10 Maximum [mg/m3],0.131
PM10 TWA [mg/m3],0.002
TOTAL Average [mg/m3],0.015
TOTAL Minimum [mg/m3],0.008
TOTAL Maximum [mg/m3],0.131
TOTAL TWA [mg/m3],0.002
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4849

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
223,0.015,0.015,0.015,0.015,0.015,,
224,0.016,0.016,0.016,0.016,0.016,,
225,0.014,0.014,0.014,0.014,0.014,,
226,0.015,0.015,0.015,0.015,0.015,,
227,0.016,0.016,0.016,0.016,0.016,,
228,0.016,0.016,0.016,0.016,0.016,,
229,0.018,0.018,0.018,0.018,0.018,,
230,0.013,0.013,0.013,0.013,0.013,,
231,0.012,0.012,0.012,0.012,0.012,,
232,0.013,0.013,0.013,0.013,0.013,,
233,0.012,0.012,0.012,0.012,0.012,,
234,0.015,0.015,0.015,0.015,0.015,,
235,0.015,0.015,0.015,0.015,0.015,,
236,0.014,0.014,0.014,0.014,0.014,,
237,0.014,0.014,0.014,0.014,0.014,,
238,0.013,0.013,0.013,0.013,0.013,,
239,0.013,0.013,0.013,0.013,0.013,,
240,0.016,0.016,0.016,0.016,0.016,,
241,0.018,0.018,0.018,0.018,0.018,,
242,0.014,0.014,0.014,0.014,0.014,,
243,0.014,0.014,0.014,0.014,0.014,,
244,0.015,0.015,0.015,0.015,0.015,,
245,0.020,0.020,0.020,0.020,0.020,,
246,0.015,0.015,0.015,0.015,0.015,,
247,0.014,0.014,0.014,0.014,0.014,,
248,0.014,0.014,0.014,0.014,0.014,,
249,0.015,0.015,0.015,0.015,0.015,,
250,0.019,0.019,0.019,0.019,0.019,,
251,0.016,0.016,0.016,0.016,0.016,,
252,0.013,0.013,0.013,0.013,0.013,,
253,0.013,0.013,0.013,0.013,0.013,,
254,0.012,0.012,0.012,0.012,0.012,,
255,0.014,0.014,0.014,0.014,0.014,,
256,0.015,0.015,0.015,0.015,0.015,,
257,0.016,0.016,0.016,0.016,0.016,,
258,0.015,0.015,0.015,0.015,0.015,,
259,0.016,0.016,0.016,0.016,0.016,,
260,0.015,0.015,0.015,0.015,0.015,,
261,0.015,0.015,0.015,0.015,0.015,,
262,0.013,0.013,0.013,0.013,0.013,,
263,0.012,0.012,0.012,0.012,0.012,,
264,0.014,0.014,0.014,0.014,0.014,,
265,0.014,0.014,0.014,0.014,0.014,,
266,0.013,0.013,0.013,0.013,0.013,,
267,0.013,0.013,0.013,0.013,0.013,,
268,0.019,0.019,0.019,0.019,0.019,,
269,0.019,0.019,0.019,0.019,0.019,,
270,0.014,0.014,0.014,0.014,0.014,,
271,0.014,0.014,0.014,0.014,0.014,,
